game,points,kenny,nick,paul,gavin,rishi
NFC North,1,Lions,Lions,Lions,Vikings,Packers
NFC South,1,Saints,Panthers,Falcons,Panthers,Falcons
NFC East,1,Eagles,Eagles,Eagles,Eagles,Eagles
NFC West,1,49ers,49ers,49ers,49ers,49ers
AFC North,1,Bengals,Bengals,Bengals,Bengals,Ravens
AFC South,1,Jags,Jags,Jags,Jags,Titans
AFC East,1,Bills,Jets,Bills,Bills,Jets
AFC West,1,Chargers,Chiefs,Chiefs,Chiefs,Chiefs
NFC Conference Championship 1,2,Eagles,Eagles,Eagles,Eagles,49ers
NFC Conference Championship 2,2,Cowboys,49ers,49ers,49ers,Lions
AFC Conference Championship 1,2,Bills,Jets,Chargers,Bengals,Bills
AFC Conference Championship 2,2,Chiefs,Chiefs,Bengals,Chiefs,Dolphins
NFC Champion,3,49ers,49ers,49ers,Eagles,Eagles
AFC Champion,3,Bengals,Chiefs,Bengals,Bengals,Ravens
Super Bowl Champion,5,Bengals,Chiefs,Bengals,Bengals,Eagles